SEASON,CLUE VALUE,CLUE CATEGORY,QUESTION,OUR MODEL_ANSWER,REAL ANSWER,CORRECT,CONTEXT USED
34,200,BACK IN BLACK,A slump in comic book sales drove it into bankruptcy in 1996; since then its cinematic universe alone has raked in $10 billion,"by the middle of the decade, the industry had slumped, and in December 1996 MEG",Marvel,False,"Marvel Comics . In late 1994, Marvel acquired the comic book distributor Heroes World Distribution to use as its own exclusive distributor. As the industry's other major publishers made exclusive distribution deals with other companies, the ripple effect resulted in the survival of only one other major distributor in North America, Diamond Comic Distributors Inc. Then, by the middle of the decade, the industry had slumped, and in December 1996 MEG filed for Chapter 11 bankruptcy protection. In early 1997, when Marvel's Heroes World endeavor failed, Diamond also forged an exclusive deal with Marvel—giving the company its own section of its comics catalog ""Previews""."
34,400,BACK IN BLACK,"On the verge of going bust in 1997, it was saved by a $150 million investment by rival Microsoft",,Apple,False,No Context
34,600,BACK IN BLACK,It went from filing for bankruptcy in 2011 to merging with U.S. Airways & becoming the world's largest airline in 2014,"American Airlines' parent company AMR Corporation filed for bankruptcy protection. In 2013, US Airways merged with American Airlines",American Airlines,True,"American Airlines . In 2011, due to a downturn in the airline industry, American Airlines' parent company AMR Corporation filed for bankruptcy protection. In 2013, US Airways merged with American Airlines but kept the American Airlines name, as it was the better recognized brand internationally; the combination of the two airlines resulted in the creation of the largest airline in the United States, and ultimately the world."
34,800,BACK IN BLACK,"It took more than a ""moment"", but this Rochester, N.Y. company emerged from bankruptcy & still sells cameras",,Kodak,False,No Context
34,1000,BACK IN BLACK,"U.S. taxpayers ponied up $180 billion to rescue this 3-letter insurance co., but got it all back, plus a profit","AIG,",AIG,True,"Bob Benmosche . On December 14, 2012, Benmosche announced that the U.S. government and American taxpayers received their full investment in AIG, plus a $22 billion positive return. Benmosche's management has been credited with leading the company back to profitability, the full repayment to the Federal Reserve Bank of New York, reducing the Treasury Department’s stake in AIG to below 20% and the repayment of the 2008 $85 billion federal loan."
34,200,HIGHWAY TO HELL,"Route 495 takes those in New Jersey to Hell's Kitchen via this ""presidential"" tunnel",Lincoln Tunnel,the Lincoln Tunnel,True,"Union City, New Jersey . Bergenline Avenue and the marginal highway of New Jersey Route 495 are major public transportation corridors. Union City is from New York City via the Lincoln Tunnel, its main approach road, Route 495 bisecting it. Within a mile to the west are U.S. Route 1/9, Route 3, and the New Jersey Turnpike."
34,400,HIGHWAY TO HELL,This state's Highway 67 will get you a nice view of Devils Head Mountain in Pike National Forest,southwest by south,Colorado,False,"Devils Head (summit) . Devils Head is a mountain summit in the Rampart Range of the Rocky Mountains of North America. The peak is located in Pike National Forest, southwest by south (bearing 210°) of the community of Sedalia in Douglas County, Colorado, United States."
34,600,HIGHWAY TO HELL,"West of Akron, Route 57 takes you over this 4-letter river, & you don't have to pay a toll to Charon",,the Styx,False,No Context
34,800,HIGHWAY TO HELL,Take the 395 in this state to Inyo National Forest and to Devils Postpile along the middle fork of the San Joaquin River,"Middle Fork of the San Joaquin River, from where it flowed to the site of the Postpile.",California,False,"Devils Postpile National Monument . The name ""Devils Postpile"" refers to a dark cliff of columnar basalt. Radiometric dating indicates the formation was created by a lava flow at some time less than 100,000 years ago. The source of the lava is thought to have been somewhere near Upper Soda Springs campground at the north end of Pumice Flat on the floor of the Middle Fork of the San Joaquin River, from where it flowed to the site of the Postpile. Estimates of the formations thickness range from to . The lava that now makes up the Postpile was near the bottom of this mass."
34,1000,HIGHWAY TO HELL,"Highway 71 gets you to America's deepest gorge, Hells Canyon, & this river that flows through it",Snake River,the Snake,False,"Hells Canyon Wilderness (Oregon and Idaho) . The Hells Canyon Wilderness is a wilderness area in the western United States, in Idaho and Oregon. Created in 1975, the Wilderness is managed by both the U.S. Bureau of Land Management and the U.S. Forest Service and contains some of the most spectacular sections of the Snake River as it winds its way through Hells Canyon, North America's deepest river gorge and one of the deepest gorges on Earth. The Oregon Wilderness Act of 1984 added additional acreage and currently the area protects a total area of . It lies entirely within the Hells Canyon National Recreation Area except for a small plot in southeastern Wallowa County, Oregon which is administered by the Bureau of Land Management. The area that is administered by the Forest Service consists of portions of (in descending order of acreage) the Wallowa, Nez Perce, Payette, and Whitman National Forests."
34,200,"\""A-C""/""D-C\""","It means ""severe"", as in ""we have to resort to"" these ""measures\""",,drastic,False,No Context
34,400,"\""A-C""/""D-C\""",Term for someone who can't remember who he is,"""mysterious waif""",amnesiac,False,"Ten Days in a Mad-House . Several doctors then examined her; all declared her insane. ""Positively demented,"" said one, ""I consider it a hopeless case. She needs to be put where someone will take care of her."" The head of the insane pavilion at Bellevue Hospital pronounced her ""undoubtedly insane"". The case of the ""pretty crazy girl"" attracted media attention: ""Who Is This Insane Girl?"" asked the ""New York Sun"". ""The New York Times"" wrote of the ""mysterious waif"" with the ""wild, haunted look in her eyes"" and her desperate cry: ""I can't remember I can't remember."""
34,600,"\""A-C""/""D-C\""",Late in 2016 President Obama expelled from the U.S. several Russian members of this corps,Washington's expulsion of 35 Russian diplomats,the diplomatic corps,False,"Russia–United States relations . At the end of 2016, U.S. president-elect Donald Trump praised Russian president Vladimir Putin for not expelling U.S. diplomats in response to Washington's expulsion of 35 Russian diplomats as well as other punitive measures taken by the Obama administration in retaliation for what U.S. officials had characterized as interference in the U.S. presidential election."
34,800,"\""A-C""/""D-C\""","Meaning ""antiquated"", it has nothing to do with a Biblical boat",eye,archaic,False,"Apple of my eye . The original Hebrew for this idiom, in all but Zechariah 2:8, was 'iyshown 'ayin (אישון עין). The expression refers to the pupil, and probably simply means ""dark part of the eye"" (other biblical passages use 'iyshown with the meaning ""dark"" or""obscure"", and having nothing whatsoever to do with the eye). There is, however, a popular notion that 'iyshown is a diminutive of ""man"" ('iysh), so that the expression would literally mean ""Little Man of the Eye."""
34,1000,"\""A-C""/""D-C\""",St. Nilus of Ancyra was AKA Nilus the this type of monk who lives simply,Russian Orthodox,ascetic,False,"Nilus of Sinai . These prophecies likely originated from the Russian Orthodox St. Nilus, called Nilus of Sora, but has been wrongly attributed to Nilus of Sinai. Between the years 1813 and 1819, a certain monk named Theophanes, also known as the “Prisoner”, was troubled by a demon due to his many sins, and he also suffered from a hernia. In despair over his condition he planned to leave the Holy Mountain until one day St. Nilus appeared to him. St. Nilus showed him an abandoned hut and instructed him to settle there, promising to provide for his needs. Theophanes obeyed, although at first he did not know it was St. Nilus - only later did the Saint reveal himself."
34,400,ARCHITECTURE,The flamboyant type of this medieval style of architecture features curves in the tracery that resemble flames,double curved tracery.,gothic,False,"Flamboyant . Flamboyant (from French ""flamboyant"", ""flaming"") is the name given to a florid style of late Gothic architecture in vogue in France from about 1350, until it was superseded by Renaissance architecture during the early 16th century. The term has been mainly used to describe French buildings and sometimes the early period of English Gothic architecture, usually called the Decorated Style; the historian Edward Augustus Freeman proposed this in a work of 1851. A version of the style spread to Spain and Portugal during the 15th century. It evolved from the Rayonnant style and the English Decorated Style and was marked by even greater attention to decoration and the use of double curved tracery. The term was first used by Eustache-Hyacinthe Langlois (1777–1837), and like all the terms mentioned in this paragraph except ""Sondergotik"" describes the style of window tracery, which is much the easiest way of distinguishing within the overall Gothic period, but ignores other aspects of style. In England the later part of the period is known as Perpendicular architecture. In Germany Sondergotik (""Special Gothic"") is the more usual term."
34,800,ARCHITECTURE,This uppermost part of the capital of a column shares its name with an ancient calculator,stylobate.,an abacus,False,"Ancient Greek temple . Stereobate, ""euthynteria"" and ""crepidoma"" form the substructure of the temple. The underground foundation of a Greek temple is known as the stereobate. It consists of several layers of squared stone blocks. The uppermost layer, the ""euthynteria"", partially protrudes above the ground level. Its surface is carefully smoothed and levelled. It supports a further foundation of three steps, the ""crepidoma"". The uppermost level of the ""crepidoma"" provides the surface on which the columns and walls are placed; it is called stylobate."
34,1600,ARCHITECTURE,"Flat roofs & lots of glass were a trend around 1950, thus the alliterative term this period ""modern\""",,mid-century,False,No Context
34,2000,ARCHITECTURE,"In 1923 this Swiss mister with a French nom de architecture wrote, ""A house is a machine for living in\""",Le Corbusier,Le Corbusier,True,"Functionalism (architecture) . Popular notions of modern architecture are heavily influenced by the work of the Franco-Swiss architect Le Corbusier and the German architect Mies van der Rohe. Both were functionalists at least to the extent that their buildings were radical simplifications of previous styles. In 1923 Mies van der Rohe was working in Weimar Germany, and had begun his career of producing radically simplified, lovingly detailed structures that achieved Sullivan's goal of inherent architectural beauty. Le Corbusier famously said ""a house is a machine for living in""; his 1923 book ""Vers une architecture"" was, and still is, very influential, and his early built work such as the Villa Savoye in Poissy, France, is thought of as prototypically function."
34,400,COMEDY TONIGHT!,"She headed to Netflix for ""The Leather Special\""",Amy Schumer:,Amy Schumer,True,"Amy Schumer: The Leather Special . Netflix released the special on March 7, 2017."
34,800,COMEDY TONIGHT!,"This gravel-voiced funny guy won a Grammy for his comedy album ""Stark Raving Black\""",Lewis Black,Lewis Black,True,"Stark Raving Black . ""Stark Raving Black"" is the seventh album by comedian Lewis Black, released through Comedy Central Records. Containing the audio of a concert stand-up special of the same name. The album was awarded the 2011 Grammy Award for Best Comedy Album."
34,1600,COMEDY TONIGHT!,"He asked, ""Do you think that God gets stoned once in a while? Look at a platypus. I think so\""","every once in a while you got to do this kind of thing, you got to put somebody in their place",Robin Williams,False,"Ballad of a Thin Man . In March 1986, Dylan told his audience in Japan: ""This is a song I wrote a while back in response to people who ask me questions all the time. You just get tired of that every once in a while. You just don't want to answer no more questions. I figure a person’s life speaks for itself, right? So, every once in a while you got to do this kind of thing, you got to put somebody in their place... So this is my response to something that happened over in England. I think it was about '63, '64. [sic] Anyway the song still holds up. Seems to be people around still like that. So I still sing it. It's called 'Ballad Of A Thin Man'."""
34,2000,COMEDY TONIGHT!,"George Carlin said, ""Scientists have discovered a vaccine for"" this, but ""no one is showing the slightest interest\""",,apathy,False,No Context
34,400,NICKNAMES,This type of body of water is in a nickname for Massachusetts,the hardest working river in the county,bay,False,"Bear Swamp Hydroelectric Power Station . Bear Swamp Generating Station or Jack Cockwell Station is a pumped-storage hydroelectric underground power station that straddles the Deerfield River in Rowe and Florida, Massachusetts. It is one of many hydroelectric facilities along the river, giving that waterway the nickname of ""the hardest working river in the county"". The reservoir covers , storing about 1.7 billion gallons at an elevation of above sea level, higher than the lower reservoir. To move the huge volumes of water (8,800 cubic feet per second uphill and 10,760 cf/s downhill) in both directions, Bear Swamp uses reversible water turbines of the Francis type."
34,800,NICKNAMES,"(Sarah of the Clue Crew shows a diagram of troop movements on the monitor.) At the first Battle of Bull Run, Union troops threatened a decisive breakthrough but couldn't get past a Virginia brigade, earning its commander this nickname","35,000, although only about 18,000 were actually engaged",Stonewall,False,"First Battle of Bull Run . McDowell's Army of Northeastern Virginia was organized into five infantry divisions of three to five brigades each. Each brigade contained three to five infantry regiments. An artillery battery was generally assigned to each brigade. The total number of Union troops present at the Battle of First Bull Run was about 35,000, although only about 18,000 were actually engaged. The Union army was organized as follows: While McDowell organized the Army of Northeastern Virginia, a smaller Union command was organized and stationed northwest of Washington, near Harper's Ferry. Commanded by Maj. Gen. Robert Patterson, 18,000 men of the Department of Pennsylvania protected against a Confederate incursion from the Shenandoah Valley."
34,1200,NICKNAMES,"A gaudy, glittering metallic substance is in this nickname for the L.A. movie industry",Glam metal,Tinseltown,False,"Glam metal . Aesthetically glam metal draws heavily on the glam rock or glitter rock of the 1970s, often with very long backcombed hair, use of make-up, gaudy clothing and accessories (chiefly consisting of tight denim or leather jeans, spandex, and headbands). The visual aspects of glam metal appealed to music television producers, particularly MTV, whose establishment coincided with the rise of the genre. Glam metal performers became infamous for their debauched lifestyles of drugs, strippers and late-night parties, which were widely covered in the tabloid press."
34,1600,NICKNAMES,Robert A. Lewis was the co-pilot of the plane with this nickname that dropped the A-bomb on Hiroshima,"""Enola Gay"",",the Enola Gay,False,"This Is Your Life . One of the show's subjects was Rev. Kiyoshi Tanimoto, a survivor of the atomic bombing of Hiroshima. During the episode Edwards introduced Tanimoto to Robert A. Lewis, the co-pilot of the ""Enola Gay"", the plane that dropped the bomb on Hiroshima. Hanna Bloch Kohner, a Holocaust survivor, was a subject on May 27, 1953."
34,2000,NICKNAMES,"Alexander Pope's nicknames include ""The Bard of Twickenham"" & ""The Sweet"" this bird ""of Thames\""",poet,The Sweet Swan of Thames,False,"Peter Tillemans . Tillemans painted several topographical works of views in Richmond and Twickenham, to the west of London, including ""A View of Richmond from Twickenham Park"" (later engraved by P. Benazech), ""A View from Richmond Hill"" and ""The Thames at Twickenham"" (known also as ""A Prospect of Twickenham""). This last painting, the ""earliest complete topographical view of the river frontage in the 18th century"", was commissioned either by the poet Alexander Pope (his villa by the Thames is shown in the painting) or John Robartes, later 4th Earl of Radnor. His panorama of ""The Thames from Richmond Hill"" (""c."" 1723) was one of three paintings done for the Earl of Radnor."
34,400,HISTORY OF SCIENCE,This man announced his periodic law of the elements before the Russian Chemical Society in 1869,Dmitri Ivanovich Mendeleev,Mendeleyev,False,"Germanium . In his report on ""The Periodic Law of the Chemical Elements"" in 1869, the Russian chemist Dmitri Ivanovich Mendeleev predicted the existence of several unknown chemical elements, including one that would fill a gap in the carbon family in his Periodic Table of the Elements, located between silicon and tin. Because of its position in his Periodic Table, Mendeleev called it ""ekasilicon (Es)"", and he estimated its atomic weight to be about 72.0."
34,800,HISTORY OF SCIENCE,"In 1880 Alphonse Laveran discovered that parasites caused this disease named for the ""bad air"" thought to cause it","malaria (then called ""Marsh Fever"") was a protozoan parasite,",malaria,True,"Globalization and disease . On Nov. 6, 1880 Alphonse Laveran discovered that malaria (then called ""Marsh Fever"") was a protozoan parasite, and that mosquitoes carry and transmit malaria. Malaria is a protozoan infectious disease that is generally transmitted to humans by mosquitoes between dusk and dawn. The European variety, known as ""vivax"" after the ""Plasmodium vivax"" parasite, causes a relatively mild, yet chronically aggravating disease. The west African variety is caused by the sporozoan parasite, ""Plasmodium falciparum"", and results in a severely debilitating and deadly disease."
34,1200,HISTORY OF SCIENCE,There would be no sodas without the invention of carbonated water by this scientist as part of his 18th c. oxygen studies,Joseph Priestley,Joseph Priestley,True,"Soft drink . In the late 18th century, scientists made important progress in replicating naturally carbonated mineral waters. In 1767, Englishman Joseph Priestley first discovered a method of infusing water with carbon dioxide to make carbonated water when he suspended a bowl of distilled water above a beer vat at a local brewery in Leeds, England. His invention of carbonated water (also known as soda water) is the major and defining component of most soft drinks."
34,1600,HISTORY OF SCIENCE,Around 1929 this physicist with labs later named for him built the first cyclotron to produce artificial radioactivity,Ernest Orlando Lawrence,Ernest Lawrence,False,"Sándor Gaál . Most credible international sources give the credit of the invention of the cyclotron to American physicist and Nobel Laureate Ernest Orlando Lawrence, who invented the cyclotron during the spring of 1929 and built the first operational cyclotron in 1930 while at the University of California, Berkeley. In November 1939, Ernest O. Lawrence was awarded the Nobel Prize in Physics for his work on the cyclotron and its applications."
34,2000,HISTORY OF SCIENCE,"In 1807 President Jefferson created the Coast Survey; today, it's part of this oceanic agency","United States Survey of the Coast, created within the United States Department of the Treasury",NOAA (the National Oceanic and Atmospheric Administration),False,"U.S. National Geodetic Survey . The original predecessor agency of the National Geodetic Survey was the United States Survey of the Coast, created within the United States Department of the Treasury by an Act of Congress on February 10, 1807, to conduct a ""Survey of the Coast."" The Survey of the Coast, the United States governments first scientific agency, represented the interest of the administration of President Thomas Jefferson in science and the stimulation of international trade by using scientific surveying methods to chart the waters of the United States and make them safe for navigation. A Swiss immigrant with expertise in both surveying and the standardization of weights and measures, Ferdinand R. Hassler, was selected to lead the Survey."
34,800,SPANISH WORDS & PHRASES,"Cesar Chavez heard Latino leaders say ""No se puede"" & immediately his United Farm Workers had this slogan","Spanish for ""Yes, one can"" or, roughly, ""Yes, it can be done""","Sí, se puede",False,"Cesar Chavez . During his lifetime, Colegio Cesar Chavez was one of the few institutions named in his honor, but after his death he became a major historical icon for the Latino community, with many schools, streets, and parks being named after him. He has since become an icon for organized labor and leftist politics, symbolizing support for workers and for Hispanic empowerment based on grass roots organizing. He is also famous for popularizing the slogan ""Sí, se puede"" (Spanish for ""Yes, one can"" or, roughly, ""Yes, it can be done""), which was adopted as the 2008 campaign slogan of Barack Obama. Although the UFW faltered a few years after Chavez died in 1993, his work led to numerous improvements for union laborers. He has since become an iconic ""folk saint"" in the pantheon of Mexican Americans. His birthday, March 31, is a federal commemorative holiday (Cesar Chavez Day) observed by several states in the US. He received many honors and accolades, while still living and after his death, including the Presidential Medal of Freedom in 1994."
34,1200,SPANISH WORDS & PHRASES,Order camarones in a restaurant & you'll get this seafood,Seafood restaurant,shrimp,False,"Seafood restaurant . A seafood restaurant is a restaurant that specializes in seafood cuisine and seafood dishes, such as fish and shellfish. Dishes may include freshwater fish. The concept may focus upon the preparation and service of fresh seafood, (as opposed to frozen products). Some seafood restaurants also provide retail sales of seafood that consumers take home to prepare. Seafood restaurants may have a marine-themed decor, with decorations such as fish nets, nautical images and buoys. Fare can vary due to seasonality in fish availability and in the fishing industry. Seafood restaurants may offer additional non-seafood items, such as chicken and beef dishes."
34,1600,SPANISH WORDS & PHRASES,"It means ""market"" & precedes bursatil to mean ""stock market\""",there is a functioning market in the exchange of private titles to the means of production,mercado,False,"Stock market . As the Austrian School economist Ludwig von Mises noted, ""A stock market is crucial to the existence of capitalism and private property. For it means that there is a functioning market in the exchange of private titles to the means of production. There can be no genuine private ownership of capital without a stock market: there can be no true socialism if such a market is allowed to exist."""
34,2000,SPANISH WORDS & PHRASES,"\""¿Cómo estás?"" is casual; ""¿cómo está"" this pronoun, more formal",¿Cómo está?.),usted,False,"We . A similar usage exists in other languages. For example, José Luis Properzi of Argentine rock band Super Ratones revealed that the title of their song ""¿Cómo estamos hoy, eh?"" (""How are we today, eh?"") was the greeting a taxi driver addressed to him. (Regular Spanish ""How are you?"" greetings are ¿Cómo estás? or, more formal, ¿Cómo está?.)"
34,400,IT HAPPENED IN EUROPE,In 1453 the Turks captured Constantinople & killed the 11th emperor there to have this very appropriate name,"Constantine Palaeologus,",Constantine,True,"Francis of Paola . It was believed that Francis was favored with the gift of prophecy. He apparently foretold to several persons, in the years 1447, 1448, and 1449, the taking of Constantinople by the Turks, which happened on 29 May 1453, under the command of Mahomet II, when Constantine Palaeologus, the last Christian emperor, was killed in battle. He also predicted the capture of Otranto by the Ottoman Turks in 1480, and its subsequent recovery by the King of Naples."
34,800,IT HAPPENED IN EUROPE,In spring 1939 the U.K. instituted this compulsory measure in peacetime for the first time,,the draft,False,No Context
34,1200,IT HAPPENED IN EUROPE,"A symbol of this intellectual movement, Frederick II was dubbed ""philosopher king\""","philosophically-oriented Frederick II, Berlin gave birth to an intellectual renaissance in which it became one of the most important centers of the Enlightenment in Europe.",the Enlightenment,True,"Berlin Enlightenment . In 1740 Frederick II, known as Frederick the Great, came to power in the Kingdom of Prussia. Under the rule of the philosophically-oriented Frederick II, Berlin gave birth to an intellectual renaissance in which it became one of the most important centers of the Enlightenment in Europe. The city was an important book and press location, as well as the new home of many drama groups. Later, it hosted a National Theatre, the Academy of the Arts and the Academy of Sciences."
34,1600,IT HAPPENED IN EUROPE,In 1622 this cardinal was elected president of the Sorbonne & began rebuilding the university; he's buried in its chapel,Richelieu,Richelieu,True,"College of Sorbonne . Sorbon purchased several houses on Rue Coupe-Gueule (now Rue de la Sorbonne) and made them into lodging for students. The college opened in 1257 with about twenty students, called ""socii"". As the college grew, Sorbon provided a library containing over a thousand volumes by 1292, the largest in the university, and a chapel.  The Sorbonne became the most distinguished theological institution in France, and its doctors were frequently called upon to render opinions on important ecclesiastical and theological issues. In 1470, the Sorbonne had one of the first printing presses in France. It was particularly active in the effort to suppress heresy and the spread of Protestant doctrines. Its students included Cardinal Richelieu, who studied there from 1606 to 1607. Richelieu became Proviseur, or administrator of the college on 29 August 1622. Between 1635 and 1642, Richelieu renovated the Sorbonne; he consolidated the Sorbonne with two smaller colleges, and built a complex of new buildings, including a domed chapel, around a large courtyard. Richelieu left a large part of his fortune and his library to the Sorbonne, and he was buried in the chapel. Only the chapel remains of the Richelieu era buildings."
34,2000,IT HAPPENED IN EUROPE,King Zog I ruled this Balkan country until 1939; Communist Enver Hoxha would lead it from 1944 to 1985,Albania,Albania,True,"Enver Hoxha . Enver Halil Hoxha (; ; 16 October 190811 April 1985) was an Albanian communist politician who served as the head of state of Albania from 1944 until his death in 1985, as the First Secretary of the Party of Labour of Albania. He was chairman of the Democratic Front of Albania and commander-in-chief of the armed forces from 1944 until his death. He served as the 22nd Prime Minister of Albania from 1944 to 1954 and at various times served as foreign minister and defence minister as well."
34,0,ARTISTS & AUTHORS,In 1929 Georgia O'Keeffe painted the tree in New Mexico under which this British-born author used to write,Stieglitz,D.H. Lawrence,False,"Georgia O'Keeffe . O'Keeffe and Stieglitz lived together in New York until 1929, when O'Keeffe began spending part of the year in the Southwest, which served as inspiration for her paintings of New Mexico landscapes and images of animal skulls, such as """" and ""Ram's Head White Hollyhock and Little Hills."" After Stieglitz's death, she lived permanently in New Mexico at Georgia O'Keeffe Home and Studio in Abiquiú, until the last years of her life when she lived in Santa Fe. In 2014, O'Keeffe's 1932 painting ""Jimson Weed"" sold for $44,405,000, more than three times the previous world auction record for any female artist. After her death, the Georgia O'Keeffe Museum was established in Santa Fe."
34,200,ART & ARTISTS,"This artist who portrayed the Moulin Rouge in his paintings was a character in the film ""Moulin Rouge!\""",Henri de Toulouse-Lautrec.,(Toulouse) Lautrec,False,"At the Moulin Rouge . At the Moulin Rouge () is an oil-on-canvas painting by French artist Henri de Toulouse-Lautrec. It was painted between 1892 and 1895. It is one of a number of works by Toulouse-Lautrec depicting the Moulin Rouge cabaret built in Paris in 1889; the others include ""At the Moulin Rouge, The Dance"" and the poster """"."
34,400,ART & ARTISTS,"One of her paintings of the 1940s is ""Over the River to Grandma's House"" (was it her own house?)",,Grandma Moses,False,No Context
